Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
27.65,14.599057,5.553574,1.042826
27.70,14.599057,5.553574,1.042826
27.75,14.599057,5.553574,1.042826
27.80,14.423163,6.346940,0.695216
27.85,14.423163,6.346940,0.695216
27.90,14.599057,5.553574,1.042826
27.95,14.599057,5.553574,1.042826
28.00,14.599057,5.553574,1.042826
28.05,14.599057,5.553574,1.042826
28.10,14.599057,5.553574,1.042826
28.15,14.599057,5.553574,1.042826
28.20,14.599057,5.553574,1.042826
28.25,14.599057,5.553574,1.042826
28.30,14.599057,5.553574,1.042826
28.35,14.599057,5.553574,1.042826
28.40,14.599057,0.000000,0.000000
28.45,14.599057,0.000000,0.000000
28.50,14.599057,0.000000,0.000000
28.55,14.599057,0.000000,0.000000
28.60,13.895488,0.000000,0.000000
28.65,13.895488,0.000000,0.000000
28.70,13.895488,0.000000,0.000000
28.75,13.895488,0.000000,0.000000
28.80,13.895488,0.000000,0.000000
28.85,13.895488,0.000000,0.000000
28.90,13.895488,0.000000,0.000000
28.95,13.895488,0.000000,0.000000
29.00,13.895488,0.000000,0.000000
29.05,13.895488,0.000000,0.000000
29.10,13.895488,0.000000,0.000000
29.15,13.895488,0.000000,0.000000
29.20,13.895488,0.000000,0.000000
29.25,13.895488,0.000000,0.000000
29.30,13.895488,0.000000,0.000000
29.35,13.895488,0.000000,0.000000
29.40,13.895488,0.000000,0.000000
29.45,13.895488,0.000000,0.000000
29.50,13.895488,0.000000,0.000000
29.55,13.895488,0.000000,0.000000
29.60,13.895488,0.000000,0.000000
29.65,13.895488,0.000000,0.000000
29.70,13.895488,0.000000,0.000000
29.75,13.895488,0.000000,0.000000
29.80,14.247272,0.000000,0.347608
29.85,14.247272,0.000000,0.347608
29.90,14.423163,0.000000,0.000000
29.95,14.423163,0.000000,0.000000
30.00,14.423163,0.000000,0.000000
30.05,14.423163,0.000000,0.000000
30.10,14.599057,0.000000,0.000000
30.15,14.599057,0.000000,0.000000
30.20,13.895488,0.000000,0.000000
30.25,13.895488,0.000000,0.000000
30.30,13.895488,0.000000,0.000000
30.35,13.895488,0.000000,0.000000
30.40,12.488349,0.000000,0.347608
30.45,12.488349,0.000000,0.347608
30.50,12.488349,0.000000,0.347608
30.55,12.488349,0.000000,0.347608
30.60,12.488349,0.000000,0.347608
30.65,12.488349,0.000000,0.347608
30.70,11.784781,0.000000,0.695217
30.75,11.784781,0.000000,0.695217
30.80,11.784781,0.000000,0.695217
30.85,11.784781,0.000000,0.695217
30.90,11.081212,0.000000,1.042825
30.95,11.081212,0.000000,1.042825
31.00,11.081212,0.000000,1.042825
31.05,11.081212,0.000000,1.042825
31.10,11.081212,0.000000,1.042825
31.15,11.081212,0.000000,1.042825
31.20,10.377643,0.000000,1.390434
31.25,10.377643,0.000000,1.390434
31.30,10.377643,0.000000,1.390434
31.35,10.377643,0.000000,1.390434
31.40,11.081212,0.000000,1.042825
31.45,11.081212,0.000000,1.042825
31.50,10.905319,0.000000,2.433259
31.55,10.905319,0.000000,2.433259
31.60,10.201751,0.000000,2.780868
31.65,10.201751,0.000000,2.780868
31.70,10.201751,0.000000,2.780868
31.75,10.201751,0.000000,2.780868
31.80,9.849966,0.198342,3.823693
31.85,9.849966,0.198342,3.823693
31.90,10.553535,0.000000,3.476085
31.95,10.553535,0.000000,3.476085
32.00,10.553535,0.000000,3.476085
32.05,10.553535,0.000000,3.476085
32.10,9.849966,0.198342,3.823693
32.15,9.849966,0.198342,3.823693
32.20,9.849966,0.198342,3.823693
32.25,9.849966,0.198342,3.823693
32.30,9.146397,0.396684,4.171302
32.35,9.146397,0.396684,4.171302
32.40,8.442828,0.595026,4.518910
32.45,8.442828,0.595026,4.518910
32.50,8.442828,0.595026,4.518910
32.55,8.442828,0.595026,4.518910
32.60,7.739259,0.793368,4.866519
32.65,7.739259,0.793368,4.866519
32.70,7.915151,0.991709,3.476085
32.75,7.915151,0.991709,3.476085
32.80,7.387474,0.396684,4.171302
32.85,7.387474,0.396684,4.171302
32.90,6.683905,0.595026,4.518910
32.95,6.683905,0.595026,4.518910
33.00,6.156229,0.991709,3.476085
33.05,6.156229,0.991709,3.476085
33.10,4.924983,0.595026,4.518910
33.15,4.924983,0.595026,4.518910
33.20,3.693737,1.190051,3.823693
33.25,3.693737,1.190051,3.823693
33.30,3.693737,1.190051,3.823693
33.35,3.693737,1.190051,3.823693
33.40,2.814276,1.190051,2.085651
33.45,2.814276,1.190051,2.085651
33.50,1.407138,1.586735,2.780868
33.55,1.407138,1.586735,2.780868
33.60,1.055354,1.190051,2.085651
33.65,1.055354,1.190051,2.085651
33.70,0.703569,0.793368,1.390434
33.75,0.703569,0.793368,1.390434
33.80,0.703569,0.793368,1.390434
33.85,0.703569,0.793368,1.390434
33.90,0.703569,0.793368,1.390434
33.95,0.703569,0.793368,1.390434
34.00,0.703569,0.793368,1.390434
34.05,0.703569,0.793368,1.390434
